term,n_channels,n_videos,example
ピラミッド,14,45,エジプトとマヤのピラミッドはなぜ似ているのか？考古学が導き出した衝撃の結論とは【ゆっくり解説】
死海文書,10,10,【ゆっくり解説】死海文書最大の謎！バチカンが隠したとされるキリストの秘密を徹底解説
シュメール,8,12,【ゆっくり解説】最新AIが解読したシュメール文明の起源、日本だった可能性がヤバすぎる！
地上絵,8,9,多くが解明されているのに、どこかおかしいナスカの地上絵【ゆっくり解説】
ストーンヘンジ,7,8,ストーンヘンジは「病院」だった!?人骨と科学が示す有力説を徹底検証【ゆっくり解説】
スフィンクス,6,7,CIAが暴露したスフィンクスの地下？“記録の間”説はなぜ再燃したのか
キリスト,5,9,【ゆっくり解説】死海文書最大の謎！バチカンが隠したとされるキリストの秘密を徹底解説
オーパーツ,5,8,【ゆっくり解説】あまりにも不可解な頭蓋骨のオーパーツ５選
アトランティス,5,6,アメリカの海域で発見された、アトランティスの痕跡とは？【 都市伝説 】
ヴォイニッチ手稿,5,5,【ゆっくり解説】ヴォイニッチ手稿を「人類栽培マニュアル」として読むと全てがつながる
縄文人,4,9,日本に8500年前の“ミイラ”!? 縄文人は死者に何をしていたのか？
粘土板,4,6,シュメールの粘土板には何が記されていたのか？5000年前の人類が残した驚きの記録
太陽系,4,6,「太陽系の真の支配者は◯◯」エイリアンに調教され超能力を持った少女が語る惑星ニビルの正体…NASAが公表した地球を破滅させる惑星ニビルと少女の証言の一致がヤバすぎる【都市伝説】
アポロ計画,4,5,【ゆっくり解説】アポロ計画で発見された「謎の物体」の正体がヤバすぎる
インダス,4,4,理想とされた世界屈指の高度文明…インダス文明はなぜ衰退したのか？
アヌンナキ,3,5,【ゆっくり解説】アヌンナキは人類を創ったのか？シュメール神話に残る禁断の起源
大洪水,3,4,トロイア戦争の遺跡とノアの大洪水を裏付ける痕跡!?本当にあった可能性が高い世界の神話4選【ゆっくり解説】
ギョベクリ,3,4,ギョベクリ・テペの定説崩壊！“神殿だけの場所”ではなかった？
ファイストス,3,4,ファイストスの円盤：未解読の文字が刻まれたミノア文明最大のミステリー
モンゴル,3,4,源義経は本当に生きていたのか？北行伝説とモンゴル起源説を検証
アームストロング,3,4,ニール・アームストロングの生涯と逸話～人類で初めて月面着陸した謙虚な超人宇宙飛行士【わかりやすく解説世界史】
支配者,3,4,「太陽系の真の支配者は◯◯」エイリアンに調教され超能力を持った少女が語る惑星ニビルの正体…NASAが公表した地球を破滅させる惑星ニビルと少女の証言の一致がヤバすぎる【都市伝説】
バチカン,3,3,【ゆっくり解説】死海文書最大の謎！バチカンが隠したとされるキリストの秘密を徹底解説
新選組,3,3,【ゆっくり解説】坂本龍馬襲撃、黒幕は誰か？記録に残る不可解な新選組の謎4選
年間隠,3,3,【ゆっくり解説】32年間隠された原子力事故の記録…不可解な世界の謎5選
ヴィンチ,3,3,【ゆっくり解説】天才か狂人か？ロボット設計と禁断の研究…最新研究でも解明できないレオナルド・ダ・ヴィンチの謎5選
反重力,3,3,【ゆっくり解説】未だに解明できない古代技術２２選！現代人が知らない未知の超古代技術「反重力技術」の謎【総集編】
アマゾン,3,3,人口は最大300万人？ 最新研究が暴いた古代アマゾン文明！
トンネル,3,3,【速報】エルサレム地下で謎の古代トンネル発見！地下50mの巨大遺構、目的不明…
マチュピチュ,3,3,日本の技術が、マチュピチュの“見えない痕跡”を発見！
月面着陸,3,3,月面着陸は捏造だった？世界を欺く巨大な嘘【 都市伝説 】
エコノミスト,3,3,エコノミストは何を知っていた？表紙に描かれた「氷」の謎
古事記,3,3,高御産巣日神が天照大神にすり替えられた衝撃の理由！古事記・日本書紀の裏側
ザビエル,3,3,仏が浮かぶ魔鏡…ザビエルの右腕…世界を震え上がらせたゾッとする遺物7選
邪馬台国,3,3,最新研究！AIと3D地図で解明する古代日本…邪馬台国の場所と神武東征の謎
ロストテクノロジー,3,3,誰も再現できない！未解明の古代ロストテクノロジー5選
人工衛星,3,3,教科書から抹消された謎の巨石遺跡のヤバすぎる正体が判明しました...新発見された明らかにおかしい文明の新事実と人工衛星が発見した未知の巨石遺跡の真相【都市伝説】
法隆寺,3,3,法隆寺の謎の宇宙人像はアヌンナキと完全一致している…【都市伝説】
遺伝子,3,3,縄文文明の終わりと渡来人の謎：日本人のルーツを巡る遺伝子と考古学の交差点
タイムスリップ,3,3,[都市伝説]実はタイムスリップだったかもしれない異界駅体験談[浅川駅]
不都合,3,3,「この件には触れるな」科学者たちが口を閉ざす3I ATLASの不都合な真実…誰も教えてくれなかった驚愕の正体【都市伝説 ミステリー】
ブラックホール,3,3,完全理解｜ブラックホールとは何か？
物理学,3,3,ついに時間の正体が判明。巻き戻す方法はあるのか？ 最新の物理学が出した信じられない結論【都市伝説 ミステリー】
