query,verdict,score,demand,gap,trend,views_p75,views_max,n_over_100k,distinct_channels_over_100k,low_effort_ratio,median_duration_sec,n_serious_longform,best_serious_views,ai_angle_ratio,reasons
ヴォイニッチ手稿,狙う,0.7643,0.9506,1.0000,0.7839,620122,5717338,18,18,0.862,1329,0,0,0.138,需要あり×空白あり（低品質率=86%／中央値22分）
ダイアトロフ峠事件,狙う,0.5470,0.8550,0.9722,0.6000,245722,2460823,11,11,0.733,1093,1,4386,0.000,需要あり×空白あり（低品質率=73%／中央値18分）
ナスカの地上絵,狙う,0.5215,0.9428,0.6944,0.6444,574897,2787107,12,11,0.567,1057,1,2077,0.033,需要あり×空白あり（低品質率=57%／中央値17分）
死海文書,狙う,0.5088,0.8990,0.8000,0.6000,375991,6779336,16,13,0.767,1449,2,30229,0.000,需要あり×空白あり（低品質率=77%／中央値24分）
アンティキティラ島の機械,条件付き,0.4336,0.6483,0.8056,0.6000,63307,1191525,5,5,0.633,726,1,73,0.000,需要あり×空白あり（低品質率=63%／中央値12分）
タオスハム,条件付き,0.4256,0.6708,0.7500,0.6000,150130,3800505,4,4,0.600,876,1,150130,0.000,需要あり×空白あり（低品質率=60%／中央値14分）
ツングースカ大爆発,条件付き,0.3739,0.7059,0.5500,0.6000,58012,6643468,6,6,0.700,912,3,2239,0.000,需要あり×空白あり（低品質率=70%／中央値15分）
神代文字,条件付き,0.3622,0.8100,0.4500,0.6000,158855,2227559,13,11,0.600,1420,3,1127993,0.000,
ストーンヘンジ,条件付き,0.2812,0.6938,0.3167,0.6000,51564,809416,7,6,0.467,697,3,809416,0.000,
ファイストスの円盤,見送り,0.2675,0.1988,1.0000,0.6000,20555,92187,0,0,0.833,2023,0,0,0.000,"需要が薄い（上位25%再生=20,555／100k超えCh=0）"
フェルミのパラドックス,見送り,0.2454,0.8605,0.1944,0.6000,259136,35361335,14,10,0.733,1160,5,1006858,0.000,"真面目な長尺が既に埋めている（5本・最高1,006,858再生）"
インダス文字,見送り,0.2298,0.6949,0.2111,0.6000,52127,538259,6,6,0.467,778,4,389665,0.000,"真面目な長尺が既に埋めている（4本・最高389,665再生）"
与那国島海底地形,見送り,0.2178,0.6976,0.1889,0.6000,53491,634225,6,6,0.433,670,4,410571,0.000,"真面目な長尺が既に埋めている（4本・最高410,571再生）"
ロンゴロンゴ,見送り,0.1736,0.2317,0.3611,0.6000,7777,433986,2,2,0.367,355,0,0,0.000,"需要が薄い（上位25%再生=7,777／100k超えCh=2）"
線文字A,見送り,0.1401,0.1925,0.2833,0.6000,5319,418871,2,2,0.433,588,3,4070,0.000,"需要が薄い（上位25%再生=5,319／100k超えCh=2）"
コラッツ予想,見送り,0.1374,0.5452,0.0833,0.6444,23344,609161,5,5,0.200,598,0,0,0.033,量産系の比率が低く差別化しにくい（低品質率=20%）
エトルリア語,見送り,0.0722,0.2897,0.0500,0.6000,7151,245607,3,3,0.300,535,5,44834,0.000,"真面目な長尺が既に埋めている（5本・最高44,834再生）"
ギザの大ピラミッド 謎,見送り,0.0000,0.9939,0.0000,0.6000,942798,5852462,20,12,0.600,1775,8,1684851,0.000,"真面目な長尺が既に埋めている（8本・最高1,684,851再生）"
カエサルの最後の息 分子,見送り,0.0000,0.0000,0.0667,0.6000,2311,10023,0,0,0.200,1237,2,2311,0.000,"需要が薄い（上位25%再生=2,311／100k超えCh=0） / 量産系の比率が低く差別化しにくい（低品質率=20%）"
サクサイワマン,見送り,0.0000,0.0667,0.0000,0.6000,2111,902599,1,1,0.067,446,5,902599,0.000,"需要が薄い（上位25%再生=2,111／100k超えCh=1） / 真面目な長尺が既に埋めている（5本・最高902,599再生）"
リーマン予想,見送り,0.0000,0.8007,0.0000,0.6000,145190,953044,12,9,0.233,1115,7,594190,0.000,"真面目な長尺が既に埋めている（7本・最高594,190再生）"
暗黒物質,見送り,0.0000,0.8893,0.0000,0.6000,342308,1167321,15,13,0.333,1291,8,983516,0.000,"真面目な長尺が既に埋めている（8本・最高983,516再生）"
球電,見送り,0.0000,0.7459,0.0000,0.6000,85382,14421996,7,7,0.133,72,0,0,0.000,量産系の比率が低く差別化しにくい（低品質率=13%）
