query,verdict,score,demand,gap,trend,views_p75,views_max,n_over_100k,distinct_channels_over_100k,low_effort_ratio,median_duration_sec,n_serious_longform,best_serious_views,ai_angle_ratio,reasons
ヴォイニッチ手稿,狙う,0.7643,0.9506,1.0000,0.7839,620122,5717338,18,18,0.862,1329,0,0,0.138,需要あり×空白あり（低品質率=86%／中央値22分）
地上絵,狙う,0.6102,0.9739,0.8056,0.6889,776952,5724500,13,12,0.633,1087,1,2077,0.067,需要あり×空白あり（低品質率=63%／中央値18分）
オーパーツ,狙う,0.6000,1.0000,1.0000,0.6000,1113029,4971924,19,11,0.867,1694,0,0,0.000,需要あり×空白あり（低品質率=87%／中央値28分）
スフィンクス,狙う,0.5763,0.9225,1.0000,0.6000,472244,10560169,15,10,0.767,1380,0,0,0.000,需要あり×空白あり（低品質率=77%／中央値23分）
ロストテクノロジ,狙う,0.5237,0.7618,1.0000,0.6000,99662,2675572,7,6,0.767,1038,1,84558,0.000,需要あり×空白あり（低品質率=77%／中央値17分）
死海文書,狙う,0.5088,0.8990,0.8000,0.6000,375991,6779336,16,13,0.767,1449,2,30229,0.000,需要あり×空白あり（低品質率=77%／中央値24分）
シュメール,条件付き,0.4429,0.9081,0.6000,0.6000,410702,1860156,20,14,0.800,1859,3,175382,0.000,需要あり×空白あり（低品質率=80%／中央値30分）
アヌンナキ,条件付き,0.4132,0.7904,0.6000,0.6000,131369,4191055,9,9,0.767,1470,3,10831,0.000,需要あり×空白あり（低品質率=77%／中央値24分）
アトランティス,条件付き,0.3884,1.0000,0.4190,0.6000,1575598,59887249,22,17,0.500,848,1,1098236,0.000,
月面着陸,条件付き,0.3321,0.9190,0.3333,0.6000,456487,1752906,19,17,0.400,624,2,230038,0.000,
邪馬台国,条件付き,0.2988,0.8265,0.3000,0.6000,186396,649864,12,10,0.600,1582,4,649864,0.000,
ストーンヘンジ,条件付き,0.2812,0.6938,0.3167,0.6000,51564,809416,7,6,0.467,697,3,809416,0.000,
ピラミッド,見送り,0.2677,0.9955,0.2000,0.6000,957601,5852462,24,13,0.767,2083,5,1685683,0.000,"真面目な長尺が既に埋めている（5本・最高1,685,683再生）"
大洪水,見送り,0.2438,0.9009,0.1833,0.6000,383265,5039890,10,9,0.333,781,3,936213,0.000,"真面目な長尺が既に埋めている（3本・最高936,213再生）"
アポロ計画,見送り,0.2426,0.9494,0.1722,0.6000,612455,5107746,22,18,0.667,1085,5,5107746,0.000,"真面目な長尺が既に埋めている（5本・最高5,107,746再生）"
法隆寺,見送り,0.2005,0.8038,0.1389,0.6000,149654,19143767,9,8,0.233,763,1,80401,0.000,量産系の比率が低く差別化しにくい（低品質率=23%）
粘土板,見送り,0.1895,0.6904,0.1444,0.6000,49894,1109290,6,6,0.367,1222,4,182240,0.000,"真面目な長尺が既に埋めている（4本・最高182,240再生）"
ザビエル,見送り,0.1865,0.8285,0.1167,0.6000,189995,1248372,9,8,0.267,688,3,376614,0.000,"真面目な長尺が既に埋めている（3本・最高376,614再生）"
ギョベクリ,見送り,0.1508,0.4946,0.1278,0.6000,51988,1942739,4,3,0.533,1328,5,18583,0.000,"真面目な長尺が既に埋めている（5本・最高18,583再生）"
バチカン,見送り,0.1237,0.7948,0.0534,0.6000,137139,953198,9,8,0.310,1046,5,953198,0.000,"真面目な長尺が既に埋めている（5本・最高953,198再生）"
ファイストス,見送り,0.0729,0.0171,0.8611,0.6000,3541,92187,0,0,0.667,1610,0,0,0.000,"需要が薄い（上位25%再生=3,541／100k超えCh=0）"
不都合,見送り,0.0567,0.8046,0.0111,0.6000,150858,1442785,10,9,0.167,1012,4,547462,0.000,"真面目な長尺が既に埋めている（4本・最高547,462再生）"
トンネル,見送り,0.0447,1.0000,0.0056,0.6000,1618005,5038109,21,19,0.167,336,5,2757687,0.000,"真面目な長尺が既に埋めている（5本・最高2,757,687再生）"
キリスト,見送り,0.0000,0.9442,0.0000,0.6000,582388,1933211,25,19,0.433,2043,9,579688,0.000,"真面目な長尺が既に埋めている（9本・最高579,688再生）"
縄文人,見送り,0.0000,0.9624,0.0000,0.6000,694818,2753002,18,15,0.500,1201,6,2753002,0.000,"真面目な長尺が既に埋めている（6本・最高2,753,002再生）"
太陽系,見送り,0.0000,1.0000,0.0000,0.6000,1290726,23928444,26,18,0.300,1719,7,1443742,0.000,"真面目な長尺が既に埋めている（7本・最高1,443,742再生）"
インダス,見送り,0.0000,0.4494,0.0000,0.6000,33574,1675988,3,3,0.333,888,7,1675988,0.000,"真面目な長尺が既に埋めている（7本・最高1,675,988再生）"
モンゴル,見送り,0.0000,0.9190,0.0000,0.6000,456522,1905032,19,14,0.233,1944,15,790487,0.000,"真面目な長尺が既に埋めている（15本・最高790,487再生）"
アームストロング,見送り,0.0000,0.9235,0.0000,0.6444,476776,70103144,22,20,0.100,182,2,471716,0.033,"真面目な長尺が既に埋めている（2本・最高471,716再生）"
支配者,見送り,0.0000,0.9526,0.0000,0.6000,632021,7630164,21,10,0.069,168,0,0,0.000,量産系の比率が低く差別化しにくい（低品質率=7%）
新選組,見送り,0.0000,0.9302,0.0000,0.6000,508682,1817668,21,20,0.233,1215,7,1212918,0.000,"真面目な長尺が既に埋めている（7本・最高1,212,918再生）"
年間隠,見送り,0.0000,0.6758,0.0000,0.6000,82655,1432595,5,5,0.600,1880,6,76037,0.000,"真面目な長尺が既に埋めている（6本・最高76,037再生）"
ヴィンチ,見送り,0.0000,0.8714,0.0000,0.6000,287828,1090950,14,12,0.357,1305,6,953671,0.000,"真面目な長尺が既に埋めている（6本・最高953,671再生）"
反重力,見送り,0.0000,0.8449,0.0000,0.6000,222685,1171510,10,10,0.567,1189,6,320015,0.000,"真面目な長尺が既に埋めている（6本・最高320,015再生）"
アマゾン,見送り,0.0000,0.9316,0.0000,0.6000,515594,20078295,18,14,0.133,1124,10,946858,0.000,"真面目な長尺が既に埋めている（10本・最高946,858再生）"
マチュピチュ,見送り,0.0000,0.8049,0.0000,0.6000,151200,1368738,9,8,0.167,698,7,647675,0.000,"真面目な長尺が既に埋めている（7本・最高647,675再生）"
エコノミスト,見送り,0.0000,0.9558,0.0000,0.6000,651646,6209889,18,9,0.533,1610,10,6209889,0.000,"真面目な長尺が既に埋めている（10本・最高6,209,889再生）"
古事記,見送り,0.0000,0.9511,0.0000,0.6000,623093,3167784,20,15,0.200,3086,15,3167784,0.000,"真面目な長尺が既に埋めている（15本・最高3,167,784再生）"
人工衛星,見送り,0.0000,0.8014,0.0000,0.6000,146259,20983180,8,8,0.133,485,3,20983180,0.000,"真面目な長尺が既に埋めている（3本・最高20,983,180再生）"
遺伝子,見送り,0.0000,0.7900,0.0000,0.6000,130957,2411528,9,8,0.133,725,2,346579,0.000,"真面目な長尺が既に埋めている（2本・最高346,579再生）"
タイムスリップ,見送り,0.0000,0.8590,0.0000,0.6000,255229,3855914,13,10,0.500,4048,12,3047363,0.000,"真面目な長尺が既に埋めている（12本・最高3,047,363再生）"
ブラックホール,見送り,0.0000,0.9795,0.0000,0.6000,820175,28009851,21,16,0.267,1427,9,1905890,0.000,"真面目な長尺が既に埋めている（9本・最高1,905,890再生）"
物理学,見送り,0.0000,1.0000,0.0000,0.6000,1149006,3120265,28,13,0.333,3501,20,3120265,0.000,"真面目な長尺が既に埋めている（20本・最高3,120,265再生）"
