query,verdict,score,demand,gap,trend,views_p75,views_max,n_over_100k,distinct_channels_over_100k,low_effort_ratio,median_duration_sec,n_serious_longform,best_serious_views,ai_angle_ratio,reasons
ヴォイニッチ手稿,狙う,0.5580,0.8821,0.6565,0.7333,319208,5722286,25,25,0.800,1266,1,1459131,0.100,需要あり×空白あり（低品質率=80%／中央値21分）
オーパーツ,狙う,0.5119,0.9655,0.7540,0.6000,715872,9570191,33,20,0.667,1293,1,532065,0.000,需要あり×空白あり（低品質率=67%／中央値21分）
死海文書,条件付き,0.3570,0.8850,0.4000,0.6000,328460,6785064,24,19,0.750,1203,4,94835,0.000,
地上絵,条件付き,0.3227,0.7917,0.3167,0.6444,133042,5808541,16,15,0.467,726,3,2086,0.033,
将門塚,見送り,0.2507,0.8271,0.2111,0.6000,187510,1476694,26,20,0.467,829,4,798087,0.000,"真面目な長尺が既に埋めている（4本・最高798,087再生）"
シュメール,見送り,0.2395,0.8691,0.1833,0.6000,281573,2106692,33,25,0.700,1589,5,175512,0.000,"真面目な長尺が既に埋めている（5本・最高175,512再生）"
月面着陸,見送り,0.1396,0.9741,0.0556,0.6000,777960,6502895,34,26,0.317,660,5,4071278,0.000,"真面目な長尺が既に埋めている（5本・最高4,071,278再生）"
ストーンヘンジ,見送り,0.1235,0.6938,0.0611,0.6000,51576,35723275,13,11,0.333,676,5,812482,0.000,"真面目な長尺が既に埋めている（5本・最高812,482再生）"
ザビエル,見送り,0.1044,0.7779,0.0389,0.6000,116474,21402672,16,15,0.267,568,5,470260,0.000,"真面目な長尺が既に埋めている（5本・最高470,260再生）"
法隆寺,見送り,0.0771,0.7434,0.0222,0.6000,83387,19143988,11,9,0.183,661,4,104845,0.000,"真面目な長尺が既に埋めている（4本・最高104,845再生）"
ピラミッド,見送り,0.0000,0.9943,0.0000,0.6222,946586,263652978,43,27,0.600,1740,10,2124364,0.017,"真面目な長尺が既に埋めている（10本・最高2,124,364再生）"
縄文人,見送り,0.0000,0.9415,0.0000,0.6000,567427,2753985,41,33,0.400,1328,12,2753985,0.000,"真面目な長尺が既に埋めている（12本・最高2,753,985再生）"
キリスト,見送り,0.0000,0.9336,0.0000,0.6000,525639,1951670,41,32,0.267,1707,24,580049,0.000,"真面目な長尺が既に埋めている（24本・最高580,049再生）"
大洪水,見送り,0.0000,0.8314,0.0000,0.6000,195490,7827556,22,20,0.283,786,7,576652,0.000,"真面目な長尺が既に埋めている（7本・最高576,652再生）"
アポロ計画,見送り,0.0000,0.9432,0.0000,0.6000,577040,6502823,31,25,0.583,1047,9,5108014,0.000,"真面目な長尺が既に埋めている（9本・最高5,108,014再生）"
スフィンクス,見送り,0.0000,0.8505,0.0000,0.6222,235187,10597100,25,19,0.583,1278,6,1532756,0.017,"真面目な長尺が既に埋めている（6本・最高1,532,756再生）"
アトランティス,見送り,0.0000,1.0000,0.0000,0.6222,1593623,233137301,38,32,0.283,1095,12,32223649,0.017,"真面目な長尺が既に埋めている（12本・最高32,223,649再生）"
ギョベクリ,見送り,0.0000,0.4881,0.0000,0.6000,25592,1943903,4,4,0.483,871,8,18766,0.000,"真面目な長尺が既に埋めている（8本・最高18,766再生）"
古事記,見送り,0.0000,0.8853,0.0000,0.6000,329285,3199251,37,24,0.267,4481,28,3199251,0.000,"真面目な長尺が既に埋めている（28本・最高3,199,251再生）"
インダス,見送り,0.0000,0.6534,0.0000,0.6000,34889,1828013,12,12,0.283,756,6,1680829,0.000,"真面目な長尺が既に埋めている（6本・最高1,680,829再生）"
不都合,見送り,0.0000,0.7574,0.0000,0.6667,95498,1762673,15,15,0.167,1200,17,696655,0.050,"真面目な長尺が既に埋めている（17本・最高696,655再生）"
太陽系,見送り,0.0000,0.9580,0.0000,0.6000,665902,16623901,35,24,0.467,1797,13,2120929,0.000,"真面目な長尺が既に埋めている（13本・最高2,120,929再生）"
粘土板,見送り,0.0000,0.6473,0.0000,0.6222,32895,1124379,9,9,0.233,621,6,196060,0.017,"真面目な長尺が既に埋めている（6本・最高196,060再生）"
モンゴル,見送り,0.0000,0.9335,0.0000,0.6000,525506,11140802,34,28,0.300,2131,26,1630285,0.000,"真面目な長尺が既に埋めている（26本・最高1,630,285再生）"
物理学,見送り,0.0000,1.0000,0.0000,0.6000,1664641,6110594,55,21,0.317,2928,35,3143273,0.000,"真面目な長尺が既に埋めている（35本・最高3,143,273再生）"
バチカン,見送り,0.0000,0.8383,0.0000,0.6000,209050,5913930,21,19,0.228,1095,17,2769269,0.000,"真面目な長尺が既に埋めている（17本・最高2,769,269再生）"
新選組,見送り,0.0000,0.8891,0.0000,0.6000,341767,1818174,37,35,0.233,958,10,1230238,0.000,"真面目な長尺が既に埋めている（10本・最高1,230,238再生）"
年間隠,見送り,0.0000,0.7326,0.0000,0.6000,75070,2279202,11,11,0.733,1738,8,80128,0.000,"真面目な長尺が既に埋めている（8本・最高80,128再生）"
アマゾン,見送り,0.0000,0.9128,0.0000,0.6000,429667,20083394,25,23,0.117,1396,22,1981398,0.000,"真面目な長尺が既に埋めている（22本・最高1,981,398再生）"
ネアンデルタール,見送り,0.0000,0.7889,0.0000,0.6000,129528,2115051,19,15,0.417,944,6,992731,0.000,"真面目な長尺が既に埋めている（6本・最高992,731再生）"
トンネル,見送り,0.0000,0.9849,0.0000,0.6000,863685,17382893,50,47,0.133,742,13,2155578,0.000,"真面目な長尺が既に埋めている（13本・最高2,155,578再生）"
マチュピチュ,見送り,0.0000,0.8045,0.0000,0.6000,150701,1368980,18,15,0.233,1178,16,1239738,0.000,"真面目な長尺が既に埋めている（16本・最高1,239,738再生）"
反重力,見送り,0.0000,0.8174,0.0000,0.6000,170645,6008779,17,16,0.467,972,8,320041,0.000,"真面目な長尺が既に埋めている（8本・最高320,041再生）"
国家機密,見送り,0.0000,0.6786,0.0000,0.6000,44527,1278655,10,8,0.200,883,6,723250,0.000,"真面目な長尺が既に埋めている（6本・最高723,250再生）"
遺伝子,見送り,0.0000,0.8498,0.0000,0.6000,233620,1998813,24,20,0.117,768,9,1161458,0.000,"真面目な長尺が既に埋めている（9本・最高1,161,458再生）"
坂本龍馬,見送り,0.0000,0.8809,0.0000,0.6000,315786,1582539,32,24,0.300,1048,8,1230238,0.000,"真面目な長尺が既に埋めている（8本・最高1,230,238再生）"
邪馬台国,見送り,0.0000,0.8348,0.0000,0.6000,202016,950753,21,17,0.433,1416,12,950753,0.000,"真面目な長尺が既に埋めている（12本・最高950,753再生）"
ブラックホール,見送り,0.0000,0.9991,0.0000,0.6000,991652,29240974,40,27,0.317,1150,12,2038531,0.000,"真面目な長尺が既に埋めている（12本・最高2,038,531再生）"
海底遺跡,見送り,0.0000,0.8499,0.0000,0.6222,233918,2242956,23,19,0.467,714,6,365079,0.017,"真面目な長尺が既に埋めている（6本・最高365,079再生）"
